"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1183,"MAT1001","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1183,"MAT1005","-","5"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"REA3011","3","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"REA3001","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"REA3002","3","2"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"MAT1011","3","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1184,"MAT1015","2","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1185,"REA3001","4","2"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1185,"MAT1011","3","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1185,"MAT1015","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1186,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1186,"MAT1011","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1187,"MAT1013","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1187,"MAT1015","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1188,"REA3001","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1188,"MAT1001","6","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1188,"MAT1105","-","6"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1188,"MAT1005","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"REA3004","GK","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"REA3005","4","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"REA3011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"REA3022","GK","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"MAT1013","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1189,"REA3024","3","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1191,"MAT1001","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1191,"MAT1005","4","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3011","5","6"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3001","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3003","-","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3002","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3026","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"MAT1013","5","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1192,"REA3028","-","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1193,"MAT1001","2","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1193,"MAT1005","2","2"
