"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","STREA3","Realfag vg3","ST","Studiespesialisering","3,3","REA3028","Matematikk S2",NA,3,"REA3011","Kjemi 1","39,5","37","47,5","1,39",39,0,"K",26,NA,NA,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA102",1,"S",2023,"HØST-EO",1251,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,"","","36,4","36,4","36,4","3,11",0,11,"K",27,NA,NA,"BACHBARN","Bachelor i barnevern (HINN)"
217,"MBA102",1,"S",2023,"HØST-EO",1252,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","3","VG1331","Matematikk 1MY (ny plan)",NA,NA,"","","37,5","37,5","41,5","2,56",17,33,"K",39,NA,NA,"BACHEL DHS","Bachelor i vernepleie (VID)"
217,"MBA102",1,"S",2023,"HØST-EO",1253,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","1,5","MAT1011","Matematikk 1P",NA,NA,"","","39,1","39,1","49,1","2,33",0,11,"K",26,NA,NA,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA102",1,"S",2023,"HØST-EO",1254,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4,5","MAT1005","Matematikk 2P-Y",NA,NA,"","","42,1","42,1","42,1","2,5",0,0,"K",23,NA,NA,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA102",1,"S",2023,"HØST-EO",1255,"M-BARNEV","Barnevernsarbeid - Masterprogram",2022,"HØST","Universitetet i Stavanger","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","2,7","MAT1005","Matematikk 2P-Y",NA,NA,"","","","38,8","","2,5",0,0,"K",23,NA,NA,"BACHVERN","Bachelor i vernepleie (VID)"
