"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1168,"MBV","Master i barnevern",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y","",NA,"","","51,7","51,7","51,7","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1169,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","","41,7","","4",0,100,"K",26,NA,NA,"BARNPED","Bachelor i barnevern (NORD)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1170,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P","",NA,"","","","50,4","","4",0,100,"K",22,NA,NA,"B-BARNEV","Bachelor i barnevern (UIS)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1171,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1015","Matematikk 2P","",NA,"","","","38,8","","2,86",0,14,"K",25,NA,NA,"BACHSOS","BACHELOR I SOSIALT ARBEID (UIT)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1172,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","43,6","43,6","43,6","3",0,0,"K",24,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1173,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,3","REA3028","Matematikk S2","6",NA,"","","54","52,5","54","3",0,0,"K",23,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1174,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2,5","MAT1015","Matematikk 2P","",NA,"","","","40","","3",0,40,"K",29,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1175,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2,5","MAT1015","Matematikk 2P","",NA,"","","37","37","37","2",0,0,"K",23,NA,NA,"BRVL","Rådgivning og voksnes læring - bachelorstudium"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1176,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5,5","MAT1015","Matematikk 2P","5",NA,"","","","53,5","","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1177,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STREA3","Realfag vg3","ST","Studiespesialisering","5","REA3024","Matematikk R2","",NA,"","","48","45","48","3",0,0,"K",23,NA,NA,"HSGVEB","Bachelor i vernepleie"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1178,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","1,3","MAT1011","Matematikk 1P","",NA,"","","46,2","44,2","46,2","3",0,0,"K",23,NA,NA,"SOSBV","Bachelor i sosialt arbeid - sosionom (HVO)"
